Long,Lat,Population
-111.50164,37.07042,1
-110.71167,39.19183,3
-109.20929,38.79662,4
-108.46249,38.97388,5
-112.377,34.9749,6
-109.452,35.7189,7
-107.99,36.658,8
-111.81927,33.93305,9
-106.11105,36.32005,10
-106.13738,35.80498,11
-109.8827,38.705,12
