"Name","mean_annual_ppt","sd_annual_ppt","cv_annual_ppt","mean_annual_tmean","sd_annual_tmean","cv_annual_tmean","mean_spring_ppt","sd_spring_ppt","cv_spring_ppt","mean_spring_tmean","sd_spring_tmean","cv_spring_tmean","mean_spring_vpd","sd_spring_vpd","cv_spring_vpd"
1,173.284516129032,56.053759067447,32.3478175197765,15.2209677419355,0.527607593765296,3.46632095087934,23.9138709677419,17.4801728972035,73.0963754081596,19.9043010752688,1.2672145579821,6.36653632393362,3.62088172043011,0.35519920908724,9.80974349653839
2,351.254838709677,101.661693141877,28.9424320858689,9.95161290322581,0.6733980282274,6.76672248786042,54.1893548387097,32.1840890229405,59.3919029276763,13.2225806451613,1.39401862724082,10.5427122333412,2.43433333333333,0.347713547494358,14.2837278171036
3,327.679032258065,58.7089848521126,17.9166132320228,8.77365591397849,0.618773042123122,7.05262490562539,71.9967741935484,35.3991003075028,49.1676199441098,12.489247311828,1.34793084493382,10.7927308290009,2.01668817204301,0.268015241903279,13.2898702743799
4,262.149677419355,61.7264850494432,23.5462754168111,12.6037634408602,0.614258958502323,4.8736154195893,58.7629032258065,32.9145880721146,56.0125287643374,17.5559139784946,1.15740409079573,6.59267351283166,3.26145161290323,0.348012947272848,10.6704924241712
5,247.875483870968,59.6155533866071,24.0506049471355,11.6693548387097,0.639431124113509,5.47957563165688,59.02,32.3173177517359,54.7565532899626,16.4612903225806,1.20012643698699,7.29059759878435,2.74702150537634,0.330710581038756,12.0388784868085
6,354.709677419355,83.9742506360877,23.6740793899483,14.7846774193548,0.543207623384234,3.6741256368104,29.0009677419355,18.9491268672796,65.3396363731653,17.8086021505376,1.21591202599456,6.82766685288574,3.39197849462366,0.368496805709899,10.8637718751452
7,244.866451612903,58.8540099199359,24.0351463143572,9.49462365591398,0.550326285316841,5.79618850899957,29.7751612903226,23.0122122463947,77.2866081967255,13.1827956989247,1.10134163864712,8.3543860027881,2.46204301075269,0.275545368206876,11.1917365782589
8,200.553870967742,53.2851876652051,26.5690148028984,12.1752688172043,0.558057493515941,4.58353324180717,35.9838709677419,25.2465502168012,70.1607401811596,16.6537634408602,0.982765463876935,5.90116142436434,3.10291397849462,0.28626615390605,9.22571994873452
9,412.330322580645,159.492503950998,38.6807603556258,17.614247311828,0.617904888808062,3.50798349693398,26.4954838709677,28.8641335499855,108.939824200052,20.5387096774194,1.21746843518877,5.92767731912235,3.58602150537634,0.310938733223121,8.67085522931041
10,306.06,61.0380561617095,19.9431667521759,10.1349462365591,0.524600462410481,5.17615436891144,58.0864516129032,33.5171511864585,57.7021839960577,13.994623655914,1.207326301415,8.62707230361848,2.39647311827957,0.307804974019367,12.8440820667474
11,310.184838709677,64.0030411189431,20.63383928924,11.5948924731183,0.542276056437957,4.67685282718382,53.3658064516129,30.1027871106308,56.4083804072653,15.9086021505376,1.10661203820776,6.95606080117078,2.79856989247312,0.311744959786378,11.139438061734
12,240.313225806452,51.6168528284511,21.4789896208307,11.9072580645161,0.615425710591351,5.16849225284982,48.8587096774194,27.9848938705552,57.277185695898,16.5559139784946,1.25037437643393,7.55243339665878,2.76275268817204,0.306547790579543,11.0957376638142
